Solr_Field,Original_Heading,Count,Valid_Heading,URI,Authority,Type,Thoroughfares_Features,Action,Change_To,Changed,Note
mods_subject_topic_ms,McGowran.,1,Greene & McGowran,http://id.loc.gov/authorities/names/nr2002016403,naf,corporate,,remove,Greene & McGowran,true,broken names due to apostrophe and ampersand codes
mods_subject_topic_ms,Greene &amp,1,Greene & McGowran,http://id.loc.gov/authorities/names/nr2002016403,naf,corporate,,replace,Greene & McGowran,true,
mods_subject_topic_ms,"Greene, Lilla A..",1,"Greene, Lilla A.",,local,personal,,replace,"Greene, Lilla A.",true,
mods_subject_topic_ms,"Greene, Nathanael, 1742-1786",1,"Greene, Nathanael, 1742-1786",http://id.loc.gov/authorities/names/n79119124,naf,personal,,,,false,
mods_subject_topic_ms,"Greenfield School (Pittsburgh, Pa.)",4,"Greenfield Elementary School (Pittsburgh, Pa.)",,local,corporate,,replace,"Greenfield Elementary School (Pittsburgh, Pa.)",true,
mods_subject_topic_ms,"Greenfield Elementary School (Pittsburgh, Pa.)",2,"Greenfield Elementary School (Pittsburgh, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"Greenfield Vocation School (Pittsburgh, Pa.)",1,"Greenfield Vocation School (Pittsburgh, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"Greenlee Field (Pittsburgh, Pa.)",3,"Greenlee Field (Pittsburgh, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"Greenlee, Gus.",2,"Greenlee, Gus",,local,personal,,replace,"Greenlee, Gus",true,
mods_subject_topic_ms,"Greenway Housing Project (Pittsburgh, Pa.)",1,"Greenway Housing Project (Pittsburgh, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"Greenway Middle School (Pittsburgh, Pa.)",4,"Greenway Middle School (Pittsburgh, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"Greenway School (Pittsburgh, Pa.)",1,"Greenway School (Pittsburgh, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"Greenwood Hotel (Oakmont, Pa.)",1,"Greenwood Hotel (Oakmont, Pa.)",,local,corporate,,,,false,
mods_subject_name_personal_namePart_ms,"Greer, Edmund",1,"Greer, Edmund",,local,personal,,,,false,
mods_subject_topic_ms,"Gregg House (Pittsburgh, Pa.)",1,"Gregg House (Pittsburgh, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"Gregg, John Richard",1,"Gregg, John Richard",,local,personal,,,,false,reviewed
mods_subject_topic_ms,"Gregory, Patricia",1,"Gregory, Patricia",,local,personal,,,,false,reviewed
mods_subject_topic_ms,"Grenville House (Pittsburgh, Pa.)",1,"Grenville House (Pittsburgh, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"Grenville, George 1712-1770",2,"Grenville, George, 1712-1770",http://id.loc.gov/authorities/names/n82046926,naf,personal,,replace,"Grenville, George, 1712-1770",true,
mods_subject_topic_ms,"Grenville, Richard, 1711-1779",1,"Grenville, Richard, 1711-1779",,local,personal,,,,false,
mods_subject_topic_ms,"Greenville, Richard, c.1541-1591",1,"Grenville, Richard, Sir, 1541?-1591",http://id.loc.gov/authorities/names/nr93004557,naf,personal,,replace,"Grenville, Richard, Sir, 1541?-1591",true,
mods_subject_topic_ms,"Grenville, Richard, Sir, 1541?-1591",1,"Grenville, Richard, Sir, 1541?-1591",http://id.loc.gov/authorities/names/nr93004557,naf,personal,,,,false,
mods_subject_topic_ms,"Grenville, Willam Wyndam Grenville, Baron, 1759-1834.",1,"Grenville, William Wyndham Grenville, Baron, 1759-1834",http://id.loc.gov/authorities/names/n84054912,naf,personal,,replace,"Grenville, William Wyndham Grenville, Baron, 1759-1834",true,
mods_subject_topic_ms,"Grenville, William Wyndham, 1759-1834.",1,"Grenville, William Wyndham Grenville, Baron, 1759-1834",http://id.loc.gov/authorities/names/n84054912,naf,personal,,replace,"Grenville, William Wyndham Grenville, Baron, 1759-1834",true,
mods_subject_topic_ms,"Greves, Sarah",1,"Greves, Sarah",,local,personal,,,,false,
mods_subject_topic_ms,"Grey, Charles Grey, Earl, 1729-1807",1,"Grey, Charles Grey, Earl, 1729-1807",http://id.loc.gov/authorities/names/nr95037547,naf,personal,,,,false,
mods_subject_topic_ms,"Grey, Louis",1,"Grey, Louis",,local,personal,,,,false,
mods_subject_topic_ms,"Greyhound bus station (Pittsburgh, Pa.)",1,"Greyhound Lines, Inc.",http://id.loc.gov/authorities/names/n83030371,naf,corporate,,replace,"Greyhound Lines, Inc.",true,
mods_subject_topic_ms,"Greyhound Bus Station (Pittsburgh, Pa.)",2,"Greyhound bus station (Pittsburgh, Pa.)",,local,corporate,,replace,"Greyhound bus station (Pittsburgh, Pa.)",true,
mods_subject_topic_ms,"Grier, Robert Cooper, 1794-1870",1,"Grier, Robert Cooper, 1794-1870",http://id.loc.gov/authorities/names/n85367629,naf,personal,,,,false,
mods_subject_topic_ms,"Griffith, Walter",1,"Griffith, Walter",,local,personal,,,,false,reviewed
