id,node_id
pitt:collection.422,1247
pitt:collection.423,1248
pitt:collection.425,1249
pitt:collection.427,1250
pitt:collection.428,1251
pitt:collection.43,1252
pitt:collection.430,1253
pitt:collection.431,1254
pitt:collection.432,1255
pitt:collection.433,1256
pitt:collection.434,1257
pitt:collection.435,1258
pitt:collection.436,1259
pitt:collection.437,1260
pitt:collection.438,1261
pitt:collection.44,1262
pitt:collection.440,1263
pitt:collection.441,1264
pitt:collection.442,1265
pitt:collection.45,1266
pitt:collection.46,1267
pitt:collection.47,1268
pitt:collection.48,1269
pitt:collection.49,1270
pitt:collection.5,1271
pitt:collection.50,1272
pitt:collection.51,1273
pitt:collection.52,1274
pitt:collection.53,1275
pitt:collection.54,1276
pitt:collection.55,1277
pitt:collection.56,1278
pitt:collection.57,1279
pitt:collection.58,1280
pitt:collection.59,1281
pitt:collection.6,1282
pitt:collection.60,1283
pitt:collection.61,1284
pitt:collection.62,1285
pitt:collection.63,1286
pitt:collection.64,1287
pitt:collection.65,1288
pitt:collection.66,1289
pitt:collection.67,1290
pitt:collection.68,1291
pitt:collection.69,1292
pitt:collection.7,1293
pitt:collection.70,1294
pitt:collection.71,1295
pitt:collection.72,1296
pitt:collection.73,1297
pitt:collection.74,1298
pitt:collection.75,1299
pitt:collection.76,1300
pitt:collection.77,1301
pitt:collection.78,1302
pitt:collection.79,1303
pitt:collection.8,1304
pitt:collection.80,1305
pitt:collection.81,1306
pitt:collection.82,1307
pitt:collection.83,1308
pitt:collection.84,1309
pitt:collection.85,1310
pitt:collection.86,1311
pitt:collection.87,1312
pitt:collection.88,1313
pitt:collection.89,1314
pitt:collection.9,1315
pitt:collection.90,1316
pitt:collection.91,1317
pitt:collection.92,1318
pitt:collection.93,1319
pitt:collection.94,1320
pitt:collection.95,1321
pitt:collection.96,1322
pitt:collection.97,1323
pitt:collection.98,1324
pitt:collection.99,1325
