PID,field_address,field_geographic_features,field_geographic_features_categories,field_throroughfares,field_subject,field_subjects_name,Note
pitt:000001.UE,,,,,,"Hotel Pittsburgher (Pittsburgh, Pa.)",
pitt:000004.UE,,,,,,United States. Court of Appeals (District of Columbia Circuit),
pitt:000005.PIC,,,,,,,
pitt:000006.UE,Corner of 16th Street and 8th Avenue,,,,,,
pitt:000007.UE,Corner of 9th Street and 7th Avenue,,,,,,
pitt:000009.PIC,436 Grant Street,,,,,,
pitt:000010.PIC,4141 5th Avenue,,,,,,
pitt:000011.PIC,320 East North Avenue,,,,,,
pitt:000012.UE,,,,,,"Janecki Manufacturing (Pittsburgh, Pa.)",
pitt:000034.PIC,5315 Baum Boulevard,,,,,,
pitt:000035.PIC,5315 Baum Boulevard,,,,,,
pitt:000036.PIC,5815 Forward Avenue,,,,,,
pitt:000036.UE,,,,,,,
pitt:000037.PIC,2001-2005 West Liberty Avenue,,,,,,
pitt:000037.UE,,,,,,,
pitt:000038.PIC,4909 Liberty Avenue,,,,,,
pitt:000039.PIC,398 Perrysville Road,,,,,,
pitt:000042.PIC,5700 Baum Boulevard,,,,,,
pitt:000043.PIC,125 Saw Mill Run Boulevard,,,,,,
pitt:000043.UE,,,,,,"Hotel Commodore (New York, N.Y.)",
pitt:000044.PIC,2334 Saw Mill Run Boulevard,,,,,,
pitt:000045.PIC,5417 Penn Avenue,,,,,,
pitt:000046.PIC,5921 Baum Boulevard,,,,,,
pitt:000047.PIC,5555 Centre Avenue,,,,,,
pitt:000048.PIC,2435 Saw Mill Run Boulevard,,,,,,
pitt:000049.PIC,3201 Boulevard of the Allies,,,,,,
pitt:000050.PIC,5424 Centre Avenue,,,,,,
pitt:000053.PIC,4267 Baum Boulevard,,,,,,
pitt:000054.PIC,4267 Baum Boulevard,,,,,,
pitt:000057.UE,,,,Braddock Avenue,,,
pitt:000067.PIC,,,,Mulberry Way,,,
pitt:000069.PIC,226 4th Avenue,,,,,,
pitt:000073.UE,,,,,,,
pitt:000074.UE,,,,,,"United Steelworkers Union Hall (Erie, Pa.)",
pitt:000075.UE,,,,,,"United Steelworkers Union Hall (Erie, Pa.)",
pitt:000076.UE,,,,,,"United Steelworkers Union Hall (Erie, Pa.)",
pitt:000077.UE,,,,,,"United Steelworkers Union Hall (Erie, Pa.)",
pitt:000080.PIC,,,,West Liberty Avenue,,,
pitt:000083.PIC,,,,,,,
pitt:000084.PIC,,,,,,,
pitt:000085.PIC,,,,,,,
pitt:000087.PIC,,,,,,,
pitt:000089.PIC,,,,,,,
pitt:000090.PIC,,,,,,,
pitt:000091.PIC,,,,,,,
pitt:000093.PIC,501-527 Federal Street,,,,,,
pitt:0001.UT,500 Grant Street,,,,,,
pitt:000100.PIC,,,,6th Street Bridge,,,
pitt:000101.PIC,,,,6th Street Bridge,,,
pitt:000102.PIC,,,,Grant Street,,,
pitt:000106.PIC,436 Grant Street,,,,,,
pitt:000107.UE,2020 Washington Avenue,,,,,,
pitt:000109.PIC,434 5th Avenue,,,,,,
pitt:000110.PIC,4400 Forbes Avenue,,,,,,
pitt:000139.PIC,,,,Liberty Avenue,,,
pitt:000140.PIC,,,,Fifth Avenue,,,
pitt:000141.PIC,,,,Fifth Avenue,,,
pitt:000145.PIC,314 6th Avenue,,,,,,
pitt:000146.PIC,314 6th Avenue,,,,,,
pitt:000152.PIC,,,,,,,
pitt:000156.PIC,537 Woodbourne Avenue,,,,,,
pitt:000157.PIC,1811 West Liberty Avenue,,,,,,
pitt:000165.PIC,210-216 Market Street,,,,,,
pitt:000166.PIC,,,,Grant Street,,,
pitt:000167.PIC,,,,Grant Street,,,
pitt:000168.PIC,,,,Grant Street,,,
pitt:000169.PIC,,,,Boulevard of the Allies,,,
pitt:000170.PIC,446-510 Liberty Avenue,,,,,,
pitt:000171.PIC,915-921 Liberty Avenue,,,,,,
pitt:000172.PIC,941-945 Liberty Avenue,,,,,,
pitt:000173.PIC,2 Smithfield Street,,,,,,
pitt:000174.PIC,,,,Smithfield Street,,,
pitt:000175.PIC,,,,Smithfield Street,,,
pitt:000176.PIC,,,,Fifth Avenue,,,
pitt:000177.PIC,,,,Fifth Avenue,,,
pitt:000178.PIC,,,,Wood Street,,,
pitt:000179.PIC,,,,Wood Street,,,
pitt:000180.PIC,205 Wood Street,,,,,,
pitt:000181.PIC,437 Penn Avenue,,,,,,
pitt:000182.PIC,,,,Sixth Street,,,
pitt:000183.PIC,,,,Grant Street,,,
pitt:000186.PIC,,,,Penn Avenue,,,
pitt:000187.PIC,,,,Penn Avenue,,,
pitt:000188.PIC,,,,,,,
pitt:000189.PIC,,,,,,,
pitt:000190.PIC,,,,Mellon Square,,,
pitt:000191.PIC,,,,Mellon Square,,,
pitt:000192.PIC,,,,Mellon Square,,,
pitt:000193.PIC,525 William Penn Place,,,,,,
pitt:000194.PIC,525 William Penn Place,,,,,,
pitt:000195.PIC,525 William Penn Place,,,,,,
pitt:000196.PIC,525 William Penn Place,,,,,,
pitt:000197.PIC,525 William Penn Place,,,,,,
pitt:0002.UT,500 Grant Street,,,,,,
pitt:000203.PIC,,,,,,,
pitt:000204.PIC,,,,Smithfield Street,,,
pitt:000205.PIC,,,,Smithfield Street,,,
pitt:000206.PIC,,,,Grant Street,,,
pitt:000207.PIC,526 Penn Avenue,,,,,,
pitt:000208.PIC,415 Market Street,,,,,,
pitt:000210.PIC,5588 Steubenville Pike,,,,,,
pitt:000211.PIC,530 William Penn Place,,,,,,
pitt:000213.PIC,821 North Sheridan Avenue,,,,,,
pitt:000217.PIC,,,,,,,
pitt:000218.PIC,,,,,,,
pitt:000219.PIC,,,,,,,
pitt:000236.PIC,28 Graeme Street,,,,,,
pitt:000237.PIC,,,,East Carson Street,,,
pitt:000239.PIC,2630 West Liberty Avenue,,,,,,
pitt:000240.PIC,914-926 Penn Avenue,,,,,,
pitt:000241.PIC,,,,Fifth Avenue,,,
pitt:000242.PIC,,,,Ross Street,,,
pitt:000243.PIC,,,,Ross Street,,,
pitt:000244.PIC,,,,Ross Street,,,
pitt:000245.PIC,,,,Frankstown Avenue,,,
pitt:000247.PIC,,,,Wood Street,,,
pitt:000250.PIC,,,,Market Street,,,
pitt:000253.PIC,,,,,,,
pitt:000254.PIC,,,,,,,
pitt:000256.PIC,,,,,,,
pitt:000257.PIC,,,,Forbes Avenue,,,
pitt:000258.PIC,,,,,,,
pitt:000259.PIC,,,,South Murtland Avenue,,,
pitt:000261.PIC,,,,Boulevard of the Alleies,,,
pitt:000264.PIC,,,,Hatfield Street,,,
pitt:000265.PIC,,,,Fort Pitt Boulevard,,,
pitt:000266.PIC,,,,Bigelow Boulevard,,,
pitt:000268.PIC,431 3rd Avenue,,,,,,
pitt:000269.PIC,423-441 Grant Street,,,,,,
pitt:000270.PIC,218-226 Atwood Street,,,,,,
pitt:000270A.PIC,218-226 Atwood Street,,,,,,
pitt:000271.PIC,1603-1609 Beaver Avenue,,,,,,
pitt:000294.PIC,,,,Second Avenue,,,
pitt:0003.UT,500 Grant Street,,,,,,
pitt:000301.PIC,423 Penn Avenue,,,,,,
pitt:000304.PIC,3700 Liberty Avenue,,,,,,
pitt:000305.PIC,301 Grant Street,,,,,,
pitt:000306.PIC,400 Fifth Avenue,,,,,,
pitt:000307.PIC,400 Fifth Avenue,,,,,,
pitt:000308.PIC,400 Fifth Avenue,,,,,,
pitt:000309.PIC,400 Fifth Avenue,,,,,,
pitt:000310.PIC,4800 Kennywood Boulevard,,,,,,
pitt:000311.PIC,4800 Kennywood Boulevard,,,,,,
pitt:000312.PIC,4800 Kennywood Boulevard,,,,,,
pitt:000313.PIC,4800 Kennywood Boulevard,,,,,,
pitt:000314.PIC,530 William Penn Place,,,,,,
pitt:000317.PIC,,,,,,,
pitt:000330.PIC,200 Lothrop Street,,,,,,
pitt:000339.PIC,,,,Fifth Avenue,,,
pitt:000340.PIC,,,,Forbes Avenue,,,
pitt:000341.PIC,,,,,,,
pitt:000343.PIC,25 Heckel Road,,,,,,
pitt:000344.PIC,519 Smithfield Street,,,,,,
pitt:000345.PIC,535 Smithfield Street,,,,,,
pitt:000346.PIC,535 Smithfield Street,,,,,,
pitt:000348.PIC,,,,Allegheny Avenue,,,
pitt:000349.PIC,,,,Allegheny Avenue,,,
pitt:000350.PIC,5215-5222 Butler Street,,,,,,
pitt:000352.PIC,,,,Homewood Avenue,,,
pitt:000353.PIC,,,,Homewood Avenue,,,
pitt:000354.PIC,,,,Smithfield Street,,,
pitt:000355.PIC,,,,Fifth Avenue,,,
pitt:000356.PIC,226-236 Fourth Avenue,,,,,,
pitt:000361.PIC,2039 Fifth Avenue,,,,,,
pitt:000363.PIC,700 Arch Street,,,,,,
pitt:000364.PIC,,,,,,,
pitt:000388.PIC,,,,,,,
pitt:000389.PIC,,,,,,,
pitt:000390.PIC,,,,,,,
pitt:000391.PIC,,,,,,,
pitt:000392.PIC,,,,,,,
pitt:000396.PIC,,,,Sixth Street,,,
pitt:0004.UT,500 Grant Street,,,,,,
pitt:000417.PIC,,,,East Ohio Street,,,
pitt:000422.PIC,,,,Saw Mill Run Boulevard,,,
pitt:000423.PIC,,,,,,,
pitt:000424.PIC,,,,,,,
pitt:000425.PIC,619 Brownsville Road,,,,,,
pitt:000427.PIC,,,,,,,
pitt:000428.PIC,,,,Penn Avenue,,,
pitt:000430.PIC,,,,,,,
pitt:000431.PIC,,,,Penn Avenue,,,
pitt:000439.PIC,,,,,,,
pitt:000441.PIC,,,,,,,
pitt:000442.PIC,,,,,,,
pitt:000443.PIC,,,,,,,
pitt:000444.PIC,918-920 East Street,,,,,,
pitt:000445.PIC,6005 Penn Avenue,,,,,,
pitt:000446.PIC,6239 Frankstown Avenue,,,,,,
pitt:000447.PIC,640 Braddock Avenue,,,,,,
pitt:000448.PIC,5217 Baum Boulevard,,,,,,
pitt:000449.PIC,422 Liberty Avenue,,,,,,
pitt:000450.PIC,6247 Broad Street,,,,,,
pitt:000451.PIC,99 Amanda Street,,,,,,
pitt:000454.PIC,3801 Forbes Avenue,,,,,,
pitt:000460.PIC,2039 Fifth Avenue,,,,,,
pitt:000469.PIC,,,,Bigelow Boulevard,,,
pitt:000470.PIC,,,,Bigelow Boulevard,,,
pitt:000471.PIC,828 Liberty Avenue,,,,,,
pitt:000472.PIC,441 6th Avenue,,,,,,
pitt:000473.PIC,2011 Jenkins Arcade,,,,,,
pitt:000474.PIC,417 6th Avenue,,,,,,
pitt:000475.PIC,417 Sixth Avenue,,,,,,
pitt:000476.PIC,334 Fifth Avenue,,,,,,
pitt:000477.PIC,809 Liberty Avenue,,,,,,
pitt:000480.PIC,,,,Grant Street,,,
pitt:000487.PIC,4712 Baum Boulevard,,,,,,
pitt:000495.PIC,426 South Main Street,,,,,,
pitt:000496.PIC,424 North Negley Avenue,,,,,,
pitt:000497.PIC,2007 Fifth Avenue,,,,,,
pitt:000499.PIC,715-717 Penn Avenue,,,,,,
pitt:0005.UT,500 Grant Street,,,,,,
pitt:000501.PIC,,,,Amity Street,,,
pitt:000502.PIC,,,,Fifth Avenue,,,
pitt:000504.PIC,,,,Terrace Street,,,
pitt:000515.PIC,530 William Penn Place,,,,,,
pitt:000516.PIC,530 William Penn Place,,,,,,
pitt:000522.PIC,,,,Elmwood Avenue,,,
pitt:000523.PIC,,,,Smithfield Street,,,
pitt:000530.PIC,,,,,,,
pitt:000537.PIC,,,,Woodland Road,,,
pitt:000538.PIC,,,,Woodland Road,,,
pitt:000540.PIC,,,,One Allegheny Avenue,,,
pitt:000541.PIC,4729 Ellsworth Avenue,,,,,,
pitt:000542.PIC,4729 Ellsworth Avenue,,,,,,
pitt:000543.PIC,,,,Craft Avenue,,,
pitt:000544.PIC,Forbes and Craft Avenues,,,,,,
pitt:000545.PIC,5701 Fifth Avenue,,,,,,
pitt:000546.PIC,,,,Centre Avenue,,,
pitt:000547.PIC,,,,Centre Avenue,,,
pitt:000549.PIC,,,,Centre Avenue,,,
pitt:000550.PIC,,,,Centre Avenue,,,
pitt:000551.PIC,706 Fifth Avenue,,,,,,
pitt:000552.PIC,1610-1612 East Carson Street,,,,,,
pitt:000553.PIC,,,,Craft Avenue,,,
pitt:000554.PIC,,,,Craft Avenue,,,
pitt:000555.PIC,,,,Craft Avenue,,,
pitt:000556.PIC,,,,Craft Avenue,,,
pitt:000557.PIC,,,,Craft Avenue,,,
pitt:000558.PIC,,,,Craft Avenue,,,
pitt:000559.PIC,,,,Craft Avenue,,,
pitt:000560.PIC,,,,Craft Avenue,,,
pitt:000561.PIC,,,,Craft Avenue,,,
pitt:000562.PIC,,,,Craft Avenue,,,
pitt:000563.PIC,,,,Craft Avenue,,,
pitt:000564.PIC,,,,Craft Avenue,,,
pitt:0006.UT,500 Grant Street,,,,,,
pitt:0007.UT,500 Grant Street,,,,,,
pitt:0008.UT,500 Grant Street,,,,,,
pitt:0009.UT,500 Grant Street,,,,,,
pitt:0010.UT,500 Grant Street,,,,,,
pitt:0011.UT,500 Grant Street,,,,,,
pitt:0012.UT,500 Grant Street,,,,,,
pitt:0013.UT,500 Grant Street,,,,,,
pitt:0014.UT,500 Grant Street,,,,,,
pitt:0015.UT,500 Grant Street,,,,,,
pitt:0016.UT,500 Grant Street,,,,,,
pitt:0017.UT,500 Grant Street,,,,,,
pitt:0018.UT,500 Grant Street,,,,,,
pitt:0019.UT,500 Grant Street,,,,,,
pitt:0020.UT,500 Grant Street,,,,,,
pitt:0021.UT,500 Grant Street,,,,,,
pitt:0022.UT,500 Grant Street,,,,,,
pitt:0023.UT,500 Grant Street,,,,,,
pitt:0024.UT,500 Grant Street,,,,,,
pitt:0025.UT,500 Grant Street,,,,,,
pitt:0026.UT,500 Grant Street,,,,,,
pitt:0027.UT,500 Grant Street,,,,,,
pitt:0028.UT,500 Grant Street,,,,,,
pitt:0029.UT,500 Grant Street,,,,,,
pitt:0030.UT,500 Grant Street,,,,,,
pitt:0031.UT,500 Grant Street,,,,,,
pitt:0032.UT,500 Grant Street,,,,,,
pitt:0033.UT,500 Grant Street,,,,,,
pitt:0034.UT,500 Grant Street,,,,,,
pitt:0035.UT,500 Grant Street,,,,,,
pitt:0036UT,500 Grant Street,,,,,,
pitt:0037.UT,500 Grant Street,,,,,,
pitt:0038.UT,500 Grant Street,,,,,,
pitt:0039.UT,500 Grant Street,,,,,,
pitt:0040.UT,500 Grant Street,,,,,,
pitt:0041.UT,500 Grant Street,,,,,,
pitt:0042.UT,500 Grant Street,,,,,,
pitt:0043.UT,500 Grant Street,,,,,,
pitt:0044.UT,500 Grant Street,,,,,,
pitt:0045.UT,500 Grant Street,,,,,,
pitt:0046.UT,500 Grant Street,,,,,,
pitt:0047.UT,500 Grant Street,,,,,,
pitt:0048.UT,500 Grant Street,,,,,,
pitt:0049.UT,500 Grant Street,,,,,,
pitt:0050.UT,500 Grant Street,,,,,,
pitt:0051.UT,500 Grant Street,,,,,,
pitt:0052.UT,500 Grant Street,,,,,,
pitt:0053.UT,500 Grant Street,,,,,,
pitt:0054.UT,500 Grant Street,,,,,,
pitt:0055.UT,500 Grant Street,,,,,,
pitt:0056.UT,500 Grant Street,,,,,,
pitt:0057.UT,500 Grant Street,,,,,,
pitt:0058.UT,500 Grant Street,,,,,,
pitt:0059.UT,500 Grant Street,,,,,,
pitt:0060.UT,500 Grant Street,,,,,,
pitt:0061.UT,500 Grant Street,,,,,,
pitt:0062.UT,500 Grant Street,,,,,,
pitt:0063.UT,500 Grant Street,,,,,,
pitt:0064.UT,500 Grant Street,,,,,,
pitt:0065.UT,500 Grant Street,,,,,,
pitt:0066.UT,500 Grant Street,,,,,,
pitt:0067.UT,500 Grant Street,,,,,,
pitt:0068.UT,500 Grant Street,,,,,,
pitt:0069.UT,500 Grant Street,,,,,,
pitt:0070.UT,500 Grant Street,,,,,,
pitt:0071.UT,500 Grant Street,,,,,,
pitt:0072.UT,500 Grant Street,,,,,,
pitt:0073.UT,500 Grant Street,,,,,,
pitt:0074.UT,500 Grant Street,,,,,,
pitt:0075.UT,500 Grant Street,,,,,,
pitt:0076.UT,500 Grant Street,,,,,,
pitt:0077.UT,500 Grant Street,,,,,,
pitt:0078.UT,500 Grant Street,,,,,,
pitt:0079.UT,500 Grant Street,,,,,,
pitt:0080.UT,500 Grant Street,,,,,,
pitt:0081.UT,500 Grant Street,,,,,,
pitt:0082.UT,500 Grant Street,,,,,,
pitt:0083.UT,500 Grant Street,,,,,,
pitt:0084.UT,500 Grant Street,,,,,,
pitt:0085.UT,500 Grant Street,,,,,,
pitt:00vseind,,Youghiogheny River|Monongahela River,,,,,confirm subject geo heading|confirm referring to river
pitt:00vsep01,,Youghiogheny River|Monongahela River,,Market Street|Walnut Street|Huey Street|Locust Street|Ringold Street|Sixth Avenue|Hazel Alley|First Avenue|Third Avenue|Fourth Avenue|Sheridan Street|Gould Alley|North Diamond Street|Water Street|Tube Works Alley|Church Alley|Second Avenue|Mulberry Alley|Paw Paw Alley|South Diamond Street|Delano ay|Jerome Street|Welsher Alley|Butler Alley|Blackberry Alley|Sinclair Street|Haber Alley|Strawberry Alley,,,confirm subject geo heading|confirm referring to river
pitt:00vsep02,,Youghiogheny River,,Gardener Alley|Market Street|Spring Street|Eleventh Avenue|Logan Alley|Huey Street|King Alley|Harrison Alley|Yough Alley|Brick Alley|Wilkins Alley|Buena Vista Street|Sixth Avenue|Jenny Lind Street|Kelly Alley|Sandy Alley|Penny Street|Rose Street|Lincoln Street|Bellefont Alley|Tenth Avenue|Frank Alley|Water Street|Tube Works Alley|Grant Street|Whigham Street|School Alley|Mulberry Alley|Peach Alley|Ninth Avenue|Thorn Alley|Spruce Street|Mary Street|Olive Street|Grape Alley|Plum Alley|Hurrell Alley|Hill Street|Shaws Avenue|Eight Avenue,,,confirm subject geo heading|confirm referring to river
pitt:00vsep03,,St. Joseph's Cemetery|Fairview Cemetery|East Park|Fairview Cemetery,cemetery|park,Belleview Avenue|Jones Street|Petty Street|Seventh Avenue|Union Avenue|Eagle Alley|White Street|Enterprise Alley|West parkway|Ridge Street|Gray Alley|Versailles Avenue|Hill Alley|Juniata Street|Stones Alley|May Street|Clifford Street|Laurel Alley|Hazel Street|Brad Street|East parkway|Park Street|Wiley Avenue|Riggs Alley|Fairview Avenue|Farm Alley|Coursin Street|Arch Street|Evans Avenue|Eight Avenue,,,confirm subject geo heading|confirm subject name heading
pitt:00vsep04,,Monongahela River,,Belleview Avenue|Peach Street|North Street|Penn Street|Wamplers Way|Fifth Avenue|White Street|Jerome Avenue|Center Street|Colombia Street|Bard Street|Fourth Avenue|Hill Alley|Speilman|Clifford Avenue|St Clair Alley|Tyan Alley|Martin Street|Ogle Alley|Virsion Street|Tenth Avenue|May Street|Hazel Street|Peach Alley|Wood Street|Armstrong Street|Neel Street|Park Street|Marteniz Alley|South Alley|Wiley Avenue|Coursin Street|Oak Alley|Evans Avenue,,,confirm subject geo heading|confirm referring to river
pitt:00vsep05,,South Park|Youghiogheny River,reservoir|park,Market Street|Carnegie Avenue|Bridge Street|Berlin Street|Bank Street|Evans Avenue|Walnut Street|Flagler Avenue|Huey Street|Ivy Street|Locust Street|Willow Avenue|Clay Street|16th Street|11th Street|Manor Avenue|Trust Alley|Bouquet Street|Library Avenue|Stewart Street|Union Avenue|Twelfth Avenue|Jenny Lind Street|14th Street|Versailles Avenue|Soles Street|Federal Avenue|Ferrigan Street|Rose Street|Gibson Street|Tube Works Alley|Grant Street|Byron Street|15th Street|Clay Alley|Irwin Street|Park Street|Beaver Street|South Park Way|Jackson Alley|Beech Street|Hitchcock Street|Manor Street|Oak Street|Butler Avenue|Converse Avenue|River Street|Palmer Street|13th Street|Hawkin Alley,,,confirm subject geo heading|confirm subject geo heading|confirm referring to river
pitt:00vsep06,,St. Mary's Cemetery,cemetery,Power Avenue|Petty Street|De Long Alley|Exchange Alley|Carson Street|Tate Alley|Scott Avenue|White Street|Allison Street|West parkway|Alhambra Alley|Panama Street|Irwin Alley|Scott Street|Gray Alley|St Peter's Avenue|Church|Forbes Alley|Juniata Street|Wesley Avenue|Stones Alley|Orchard Alley|Hall Alley|May Street|Rosena Avenue|Powderly Alley|Barnum Avenue|Duquesne Avenue|Ross Street|St John Alley|Orange Alley|Riggs Alley|Stewart Avenue|Oak Alley|Mercantile Avenue|Ferguson Avenue|Short Street|Banker Avenue|Corn Alley|Donovan Street|Union Avenue|Cleveland Avenue|Hamilton Avenue|Versailles Avenue|Garbett Avenue|Hazel Street|Collins Street|Freemont Avenue|King Avenue|Fairview Avenue|Soles Avenue|Ridge Avenue|Cherry Lane|Jones Street|Auburn Street|Palm Green Street|Cookman Alley|Luther Alley|Crab Alley|Diamond Alley|Main Street|Murphy Alley|Barn Alley|Beaver Avenue|Eaton Avenue|Woodland Avenue|Harrison Avenue|Foster Alley|Starcamp Street|Thurman Avenue|Gibson Street|Gray Street|Dove Alley|Laurel Alley|Bouquet Alley|Grover Avenue|Cherry Street|Parker Street|Park Street|Calvin Avenue|Packer Street|Wiley Avenue|Forest Avenue|Oak Street|Olive Alley|O'Dair Avenue|Powderly Avenue|Magee Alley|Atcheson Avenue|Mains Alley|Maple Street|Silver Alley|Barnum Alley|Seabury Avenue|McKinley Street|Stewart Street|Ridge Street|Jenny Lind Street|Hill Alley|St Mary's Alley|Orchard Street|Grandview Avenue|Dinsmore Avenue|Pirl Street|Morton Avenue|Gleason Street|Irwin Street|Hitchcock Avenue|Williams Avenue|Farm Alley|Sumac Street|Isenberg Street|River Street|Tyler Avenue|Sinclair Avenue,,,confirm subject name heading
pitt:00vsep07,,Monongahela River|McKeesport & Versailles Cemetery,cemetery,Elm Street|Quay Street|Grove Alley|Eleventh Avenue|Eighth Avenue|Anderson Avenue|Fawcett Street|Evans Avenue|Rebecca Street|Short Street|Water Alley|Seventh Avenue|Freemont Street|Fifth Avenue|Shady Avenue|Bennett Street|Ridge Street|Hartman Avenue|Highland Avenue|Reed Street|Dark Alley|Sixth Avenue|Patterson Street|Summitt Avenue|Sarah Street|Ewing Street|Queen Street|Hartman Alley|Versailles Avenue|Bowman Avenue|Soles Street|Mahaffey Street|Main Avenue|Mathis Street|Craig Street|Summitt Street|4th Street|Tenth Avenue|East Alley|Jarvis Street|Pirl Street|Sylvan Street|Chester Street|Gas Alley|Day Alley|Sterling|Uno Alley|Cherry Street|Cliff Avenue|Camp Street|Ninth Avenue|Dewees Street|Linden Avenue|River Street|Riverside Avenue|Forest Avenue|Cherry Alley|Shields Avenue|Summit Avenue|East Street|Boyd Avenue|Homer Street|3rd Street|Freeland Avenue|Moss Alley|Isenberg Street|Milvina Street|Fayette Avenue|Cronemeyer Avenue,,,confirm subject geo heading|confirm referring to river|confirm subject name heading
pitt:00vsep08,,Monongahela River,,Cliff Street|White Oak Level Boulevard|Water Alley|Spring Alley|Capitol Street|Raymond Alley|Pennsylvania Avenue|Senate Street|Bowman Avenue|Bissell Alley|Township Road|Skelly Street|Delaware Avenue|Pine Alley|Line Alley|Popular Street|Fayette Avenue|Jersey Avenue|Hoke Alley|Russell Alley|Columbia Avenue|Fawcett Street|Bowness Avenue|Sterling Street|Frederick Alley|Gresham Alley|Foster Street|Shady Avenue|Highland Avenue|Bennett Street|Race Alley|Ewing Street|Fern Alley|Chesapeake Avenue|Carlisle Alley|Gas Alley|Leech Avenue|Georgetown Avenue|Shields Avenue|Navy Street|Milvina Street|Linden Avenue|Smith Alley|Morton Alley|Boyer Alley|California Avenue|John Alley|Jones Alley|Vine Street|State Street|York Avenue|Gas Street|Jarvis Street|Willard Alley|Vermont Avenue|Park Way|James Alley|Potomac Avenue|Parkway|Riggs Street|Forest Avenue|Robert Alley|Treasury Street|Oak Street|Congress Street|Clinton Street|Maple Street|Ohio Avenue|Kansas Avenue|Aberle Avenue|Fifth Avenue|Hill Alley|Main Avenue|Wabash Avenue|Orchard Street|Lamont Alley|Stone Alley|Dewees Street|Franklin Avenue|Dome Avenue|Capital Street,,,confirm subject geo heading|confirm referring to river
pitt:00vsep09,,Youghiogheny River,reservoir,Beale Street|School Road|Sill Avenue|Depot Street|Coursin Alley|First Street|Youghiogheny Avenue|Baker Alley|Sherman Street|Third Street|Locust Street|Connellsville Alley|Willow Avenue|Freight Alley|Jack Alley|Blaine Street|Speer Alley|Front Street|Juniata Street|Penny Street|Fall Alley|Federal Avenue|Snow Alley|Hamilton Street|Pangross Alley|Passenger Alley|Schaum Alley|Fourth Street|Houghton Avenue|Eighth Street|Seventh Street|Brown Avenue|Wampler Alley|Sixth Street|Ninth Street|Neal Alley|Second Street|Lountz Alley|Outlet Alley|Plum Alley|Barton Avenue|Patterson Avenue|Stockdale Avenue|River Street|Hill Street|Butler Avenue|Flagler Avenue|Ward Alley|Fifth Street|Smith Alley|Volk Alley,,,confirm subject geo heading|confirm referring to river
pitt:00vsep10,,Youghiogheny River|Monongahela River,,Bridge Street|Lysle Street|Rebecca Street|Walnut Street|Penn Street|Wayne Street|Reynolds Avenue|Reed Street|Manning Street|Elder Alley|Locust Alley|March Alley|Monterey Avenue|Township Road|Havilla Street|Edwin Street|West Fifth Avenue|Ruth Street|Hickory Alley|Archer Avenue|Coal Alley|Pine Alley|Peach Alley|Ann Street|Point Street|Albion Street|Popular Street|Mary Street|Cherry Alley|Monroe Street|Dale Street|Windsor Street,,,confirm subject geo heading|confirm referring to river
pitt:00vsep11,,St. Mary's Cemetery|Youghiogheny River,cemetery,Ferry Road|Snake Hollow Road|Sill Avenue|Water Alley|First Street|Ohio Avenue|Spruce Alley|State Road|Dallas Avenue|Foster Street|Pennsylvania Avenue|Center Street|Central Street|Middle Alley|Fourth Avenue|Lincoln Avenue|Virginia Avenue|Michigan Avenue|Second Avenue|Atwood Avenue|Ninth Street|Short Alley|Belmont Avenue|Line Alley|Larch Street|Cedar Alley|Long Alley|Fifth Street,,,confirm subject geo heading|confirm referring to river|confirm subject name heading
pitt:00vsep12,,Hebrew Cemetery|Youghiogheny River,cemetery,Elm Street|Ferry Road|Grove Alley|Walnut Street|Fourth (Woodlawn) Avenue|Wayne Street|Sumac Alley|Locust Street|Boston Street|High Street|First Avenue|Chestnut Street|Juniper Street|McClure Street|Long Run Road|Vine Street|Washington Street|Wamper Street|Washington|Jefferson|Bayne Street|Second Avenue|1st Street|Pine Alley|Lincoln|Ash Street|River Alley|Lovett Alley|Central Avenue|Railroad Avenue|Third (Popular) Avenue|Larch Street|Birch Alley,,,confirm subject geo heading|confirm referring to river|confirm subject name heading
pitt:00vsep13,,Homestead Park|Monongahela River|Homestead Reservoir,reservoir|park,Eleventh Avenue|Scotia Place|22th Street|Maple Avenue|Martha|Bark Alley|Seventh Avenue|Eighteenth Avenue|Hays Street|New Township Road|Park Alley|Fifth Avenue|16th Street|West Street|Dickson Street|Harrison Street|Twelfth Avenue|Mifflin Street|Duke Alley|Hazel Alley|20th Street|18th Street|Race Alley|Sarah Street|Seventeenth Avenue|Brush Alley|Thirteenth Avenue|Fourth Avenue|Third Avenue|Brace Alley|Locust Alley|Louis Street|Bluff Alley|Fourteenth Avenue|Beech Alley|Tenth Avenue|Ammon Street|Library Place|Dixon Street|Andrew Street|Laurel Alley|Nineteenth Avenue|Grant Street|Second Avenue|Pine Alley|McClure|Park Way|Ninth Avenue|Wood Street|17th Street|Hesel Street|15th Street|City Farm Lane|Ann Street|21th Street|Boon Alley|Elm Alley|Blake Alley|Glenn Street|Bond Alley|Oak Alley|Cherry Alley|Plum Alley|Eighth Avenue|19th Street,,,confirm subject geo heading|confirm subject geo heading|confirm referring to river
